Nyckeltal;Kommun/Landsting;År;Visat Värde
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Eskilstuna;2010;13,882753
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Eskilstuna;2013;12,765781
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Eslöv;2010;7,696405
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Eslöv;2013;9,777195
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Essunga;2010;10,849057
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Essunga;2013;9,060956
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Fagersta;2010;13,240673
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Fagersta;2013;16,183746
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Falkenberg;2010;8,392603
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Falkenberg;2013;8,789183
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Falköping;2010;11,59383
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Falköping;2013;10,170408
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Falun;2010;8,761074
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Falun;2013;7,030913
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Filipstad;2010;18,265993
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Filipstad;2013;14,777498
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Finspång;2010;10,455764
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Finspång;2013;13,318386
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Flen;2010;9,300982
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Flen;2013;9,90676
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Forshaga;2010;13,185976
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Forshaga;2013;14,581607
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Färgelanda;2010;13,527851
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Färgelanda;2013;9,749671
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Gagnef;2010;7,664234
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Gagnef;2013;6,285714
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Gislaved;2010;11,625344
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Gislaved;2013;10,023041
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Gnesta;2010;9,201389
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Gnesta;2013;8,858603
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Gnosjö;2010;8,69191
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Gnosjö;2013;7,623318
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Gotland;2010;7,462273
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Gotland;2013;10,676972
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Grums;2010;15,327103
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Grums;2013;18,146718
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Grästorp;2010;11
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Grästorp;2013;9,657321
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Gullspång;2010;13,969336
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Gullspång;2013;17,34104
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Gällivare;2010;9,758408
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Gällivare;2013;9,385422
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Gävle;2010;13,237984
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Gävle;2013;13,481299
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Göteborg;2010;7,527543
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Göteborg;2013;7,157249
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Götene;2010;10,467551
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Götene;2013;7,779349
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Habo;2010;7,613345
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Habo;2013;7,362535
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hagfors;2010;15,772871
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hagfors;2013;15,068493
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hallsberg;2010;14,846416
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hallsberg;2013;12,912565
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hallstahammar;2010;14,489447
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hallstahammar;2013;12,979189
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Halmstad;2010;7,933456
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Halmstad;2013;9,187396
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hammarö;2010;9,75
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hammarö;2013;8,946701
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Haninge;2010;5,827316
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Haninge;2013;6,466924
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Haparanda;2010;22,634836
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Haparanda;2013;17,352056
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Heby;2010;9,461078
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Heby;2013;8,338405
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hedemora;2010;7,804878
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hedemora;2013;10,322581
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Helsingborg;2010;9,641766
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Helsingborg;2013;9,090909
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Herrljunga;2010;9,879725
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Herrljunga;2013;8,550186
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hjo;2010;8,592133
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hjo;2013;8,053007
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hofors;2010;16,389132
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hofors;2013;17,366947
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Huddinge;2010;4,187548
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Huddinge;2013;4,553343
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hudiksvall;2010;14,292486
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hudiksvall;2013;14,818474
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hultsfred;2010;12,106538
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hultsfred;2013;11,083437
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hylte;2010;7,473599
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hylte;2013;8,412836
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hällefors;2010;14,84375
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hällefors;2013;15,116279
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Härjedalen;2010;10,638298
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Härjedalen;2013;12,018779
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Härnösand;2010;11,54367
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Härnösand;2013;10,973011
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Härryda;2010;7,016645
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Härryda;2013;5,112931
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hässleholm;2010;10,381705
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hässleholm;2013;13,076668
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Håbo;2010;2,854554
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Håbo;2013;4,095861
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Höganäs;2010;7,921673
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Höganäs;2013;6,375546
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Högsby;2010;9,75976
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Högsby;2013;10,4
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hörby;2010;7,857547
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Hörby;2013;7,258548
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Höör;2010;8,111308
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Höör;2013;8,926417
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Jokkmokk;2010;13,846154
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Jokkmokk;2013;13,461538
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Järfälla;2010;3,81016
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Järfälla;2013;5,00189
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Jönköping;2010;6,911973
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Jönköping;2013;7,460317
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kalix;2010;19,535674
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kalix;2013;15,795943
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kalmar;2010;7,599252
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kalmar;2013;8,880646
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Karlsborg;2010;9,103641
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Karlsborg;2013;7,365439
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Karlshamn;2010;12,503652
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Karlshamn;2013;12,598196
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Karlskoga;2010;12,371134
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Karlskoga;2013;11,178248
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Karlskrona;2010;11,377814
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Karlskrona;2013;12,020427
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Karlstad;2010;8,432716
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Karlstad;2013;8,242535
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Katrineholm;2010;13,395093
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Katrineholm;2013;14,607026
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kil;2010;12,973761
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kil;2013;13,323124
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kinda;2010;12,832264
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kinda;2013;11,996337
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kiruna;2010;9,12137
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kiruna;2013;5,547337
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Klippan;2010;10,91302
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Klippan;2013;10,702875
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Knivsta;2010;3,303109
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Knivsta;2013;4,909882
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kramfors;2010;14,221557
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kramfors;2013;14,195914
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kristianstad;2010;10,628214
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kristianstad;2013;12,970498
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kristinehamn;2010;13,333333
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kristinehamn;2013;13,536953
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Krokom;2010;9,010152
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Krokom;2013;6,929348
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kumla;2010;12,098548
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kumla;2013;10,631229
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kungsbacka;2010;5,941785
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kungsbacka;2013;4,9046
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kungsör;2010;11,856287
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kungsör;2013;9,885932
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kungälv;2010;5,711954
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kungälv;2013;4,043738
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kävlinge;2010;4,238785
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Kävlinge;2013;6,882312
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Köping;2010;16,032888
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Köping;2013;12,868163
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Laholm;2010;10,952565
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Laholm;2013;8,974887
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Landskrona;2010;13,357257
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Landskrona;2013;14,328657
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Laxå;2010;14,910859
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Laxå;2013;17,915905
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Lekeberg;2010;10,66482
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Lekeberg;2013;8,368201
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Leksand;2010;6,424105
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Leksand;2013;7,018634
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Lerum;2010;5,257271
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Lerum;2013;4,338937
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Lessebo;2010;12,715517
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Lessebo;2013;18,102508
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Lidingö;2010;1,249716
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Lidingö;2013;1,274573
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Lidköping;2010;11,939314
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Lidköping;2013;11,023449
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Lilla Edet;2010;9,723117
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Lilla Edet;2013;10,042735
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Lindesberg;2010;15,396003
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Lindesberg;2013;13,885778
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Linköping;2010;7,098961
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Linköping;2013;6,083206
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ljungby;2010;6,900763
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ljungby;2013;9,231244
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ljusdal;2010;15,004748
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ljusdal;2013;16,759213
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ljusnarsberg;2010;12,038835
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ljusnarsberg;2013;10,472279
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Lomma;2010;3,370787
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Lomma;2013;2,853134
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ludvika;2010;8,396421
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ludvika;2013;9,272919
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Luleå;2010;11,301035
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Luleå;2013;9,212452
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Lund;2010;3,118348
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Lund;2013;2,725144
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Lycksele;2010;14,748677
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Lycksele;2013;10,027855
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Lysekil;2010;9,366925
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Lysekil;2013;6,896552
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Malmö;2010;8,784219
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Malmö;2013;10,234447
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Malung-Sälen;2010;6,216696
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Malung-Sälen;2013;5,402844
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Malå;2010;8,988764
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Malå;2013;12,885154
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Mariestad;2010;13,684211
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Mariestad;2013;12,761976
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Mark;2010;7,946362
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Mark;2013;7,944287
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Markaryd;2010;4,096834
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Markaryd;2013;10,773751
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Mellerud;2010;10,214008
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Mellerud;2013;10,18711
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Mjölby;2010;13,280994
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Mjölby;2013;10,722384
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Mora;2010;9,552496
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Mora;2013;10,263397
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Motala;2010;12,190083
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Motala;2013;13,497977
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Mullsjö;2010;10,06135
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Mullsjö;2013;8,495146
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Munkedal;2010;11,658031
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Munkedal;2013;9,920283
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Munkfors;2010;17,882353
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Munkfors;2013;16,666667
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Mölndal;2010;6,463449
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Mölndal;2013;4,410936
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Mönsterås;2010;12,266667
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Mönsterås;2013;12,202166
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Mörbylånga;2010;6,970128
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Mörbylånga;2013;8,182476
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Nacka;2010;3,190366
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Nacka;2013;3,247525
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Nora;2010;11,15993
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Nora;2013;11,634103
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Norberg;2010;10,892587
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Norberg;2013;12,76252
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Nordanstig;2010;12,947658
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Nordanstig;2013;11,089866
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Nordmaling;2010;13,935484
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Nordmaling;2013;14,479026
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Norrköping;2010;9,20652
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Norrköping;2013;11,847059
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Norrtälje;2010;5,804589
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Norrtälje;2013;5,442804
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Norsjö;2010;15,291751
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Norsjö;2013;9,978769
